Ticker: IBM  Created on: 11/9/2016 9:30:09 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20160927, 154.320007, 156.770004, 153.809998, 156.770004, 2987200, 155.360569, 0, 1, 154.840288, -999
20160926, 154.460007, 154.460007, 153.460007, 153.979996, 2533300, 152.595644, 0, 1, 153.5278255, -999
20160923, 155.619995, 156.039993, 154.710007, 154.979996, 2702200, 153.586653, 0, 1, 154.603324, -999
20160922, 156.149994, 157.220001, 155.690002, 156.110001, 2691100, 154.706499, 0, 1, 155.4282465, -999
20160921, 154.910004, 155.679993, 153.869995, 155.529999, 2473900, 154.131712, 0, 1, 154.520858, -999
20160920, 155.869995, 156.570007, 154.449997, 154.449997, 2159100, 153.061419, 0, 1, 154.465707, -999
20160919, 154.869995, 156.190002, 154.550003, 154.869995, 2450100, 153.477642, 0, 1, 154.1738185, -999
20160916, 155.039993, 155.399994, 153.470001, 153.839996, 6463600, 152.456903, 0, 1, 153.748448, -999
20160915, 154.300003, 156.330002, 153.210007, 155.660004, 3645600, 154.260548, 0, 1, 154.2802755, -999
20160914, 155.699997, 155.869995, 153.389999, 154.050003, 3860600, 152.665022, 0, 1, 154.1825095, -999
20160913, 157.630005, 157.929993, 155.5, 155.809998, 3636700, 154.409193, 0, 1, 156.019599, -999
20160912, 155.259995, 158.529999, 154.839996, 158.289993, 4367500, 156.866892, 0, 1, 156.0634435, -999
20160909, 158.029999, 158.399994, 155.649994, 155.690002, 5186000, 154.290277, 0, 1, 156.160138, -999
20160908, 160.550003, 161.210007, 158.759995, 159, 3963200, 157.570516, 0, 1, 159.0602595, -999
20160907, 160.190002, 161.759995, 160, 161.639999, 2867300, 160.18678, 0, 1, 160.188391, -999
20160906, 159.880005, 160.860001, 159.110001, 160.350006, 2994100, 158.908385, 0, 1, 159.394195, -999
20160902, 159.880005, 160.570007, 159.149994, 159.550003, 2315400, 158.115574, 0, 1, 158.9977895, -999
20160901, 158.320007, 159.619995, 158.100006, 159.539993, 2358400, 158.105654, 0, 1, 158.2128305, -999
20160831, 159.660004, 159.660004, 158.259995, 158.880005, 2323600, 157.4516, 0, 1, 158.555802, -999
20160830, 159.759995, 160.149994, 158.809998, 159.399994, 1813300, 157.966914, 0, 1, 158.8634545, -999
20160829, 158.830002, 160.210007, 158.5, 159.720001, 2475900, 158.284044, 0, 1, 158.557023, -999
