Date,Open,High,Low,Close,Volume,Adj Close
2016-09-23,1289.23999,1289.23999,1282.790039,1283.069946,000,1283.069946
2016-09-22,1283.800049,1291.790039,1283.800049,1290.51001,000,1290.51001
2016-09-21,1267.930054,1281.900024,1266.48999,1280.849976,000,1280.849976
2016-09-20,1269.119995,1273.550049,1266.459961,1266.680054,000,1266.680054
2016-09-19,1267.410034,1275.420044,1264.640015,1267.089966,000,1267.089966
2016-09-16,1270.180054,1270.180054,1261.319946,1265.869995,000,1265.869995
2016-09-15,1257.459961,1272.609985,1255.869995,1270.400024,000,1270.400024
2016-09-14,1258.75,1266.609985,1254.25,1257.50,000,1257.50
2016-09-13,1277.150024,1277.150024,1253.97998,1258.290039,000,1258.290039
2016-09-12,1258.430054,1280.23999,1254.380005,1278.00,000,1278.00
2016-09-09,1288.550049,1288.550049,1259.939941,1259.939941,000,1259.939941
2016-09-08,1294.579956,1294.949951,1290.540039,1292.719971,000,1292.719971
2016-09-07,1294.22998,1295.969971,1290.98999,1295.72998,000,1295.72998
2016-09-06,1291.849976,1294.790039,1287.98999,1294.76001,000,1294.76001
2016-09-02,1286.430054,1293.51001,1286.430054,1291.219971,000,1291.219971
2016-09-01,1284.540039,1286.27002,1276.280029,1284.719971,000,1284.719971
2016-08-31,1286.859985,1286.859985,1278.609985,1284.47998,000,1284.47998
2016-08-30,1289.930054,1291.089966,1284.180054,1287.780029,000,1287.780029
2016-08-29,1283.569946,1291.900024,1283.569946,1289.849976,000,1289.849976
2016-08-26,1286.26001,1294.060059,1277.73999,1283.030029,000,1283.030029
