Date,Open,High,Low,Close,Volume,Adj Close
2016-09-23,2173.290039,2173.75,2163.969971,2164.689941,3317190000,2164.689941
2016-09-22,2170.939941,2179.98999,2170.939941,2177.179932,3552830000,2177.179932
2016-09-21,2144.580078,2165.110107,2139.570068,2163.120117,3712090000,2163.120117
2016-09-20,2145.939941,2150.800049,2139.169922,2139.76001,3140730000,2139.76001
2016-09-19,2143.98999,2153.610107,2135.909912,2139.120117,3163000000,2139.120117
2016-09-16,2146.47998,2146.47998,2131.199951,2139.159912,5014360000,2139.159912
2016-09-15,2125.360107,2151.310059,2122.360107,2147.26001,3373720000,2147.26001
2016-09-14,2127.860107,2141.330078,2119.899902,2125.77002,3664100000,2125.77002
2016-09-13,2150.469971,2150.469971,2120.27002,2127.02002,4141670000,2127.02002
2016-09-12,2120.860107,2163.300049,2119.120117,2159.040039,4010480000,2159.040039
2016-09-09,2169.080078,2169.080078,2127.810059,2127.810059,4233960000,2127.810059
2016-09-08,2182.76001,2184.939941,2177.48999,2181.300049,3727840000,2181.300049
2016-09-07,2185.169922,2187.870117,2179.070068,2186.159912,3319420000,2186.159912
2016-09-06,2181.610107,2186.570068,2175.100098,2186.47998,3447650000,2186.47998
2016-09-02,2177.48999,2184.870117,2173.590088,2179.97998,3091120000,2179.97998
2016-09-01,2171.330078,2173.560059,2157.090088,2170.860107,3392120000,2170.860107
2016-08-31,2173.560059,2173.790039,2161.350098,2170.949951,3766390000,2170.949951
2016-08-30,2179.449951,2182.27002,2170.409912,2176.120117,3006800000,2176.120117
2016-08-29,2170.189941,2183.47998,2170.189941,2180.379883,2654780000,2180.379883
2016-08-26,2175.100098,2187.939941,2160.389893,2169.040039,3342340000,2169.040039
